brand,screen_size,storage,ram_size,battery(mph),camera(pixels),price(usd),preference
apple,large,196,6,852,49,465,5
Hauweii,large,376,6,680,87,571,1
apple,large,224,2,628,57,684,9
Hauweii,small,272,2,167,98,447,4
apple,small,492,4,684,40,578,2
Itel,large,411,6,970,78,99,8
Gtel,medium,367,6,622,41,318,9
Itel,small,415,7,532,49,614,1
Gtel,medium,331,4,161,93,119,3
apple,large,478,2,646,67,734,7
Itel,large,424,4,325,67,667,2
samusang,small,320,6,438,45,894,0
samusang,large,303,6,547,60,307,4
Itel,medium,206,3,244,12,66,4
samusang,small,278,7,921,15,450,10
Itel,small,182,5,190,18,96,10
Hauweii,large,199,5,640,64,891,2
Gtel,medium,475,5,299,58,445,3
samusang,small,127,2,418,92,790,3
Gtel,large,136,6,359,64,836,3
apple,small,361,3,165,35,292,7
Hauweii,medium,228,7,544,23,466,4
samusang,large,394,6,854,14,159,7
Hauweii,large,479,4,399,75,264,2
Gtel,large,291,4,459,37,154,1
Gtel,large,484,4,297,21,768,10
apple,large,128,2,223,90,536,10
samusang,large,369,2,590,73,392,5
Hauweii,large,317,4,732,30,395,4
Gtel,large,232,3,287,29,928,6
Gtel,large,392,7,483,96,592,4
Hauweii,large,358,4,898,30,437,2
Gtel,small,469,5,890,49,550,1
apple,medium,322,4,222,46,116,10
Itel,small,311,2,629,14,549,1
Hauweii,large,187,5,946,16,374,8
Itel,large,277,7,604,76,662,5
apple,small,439,7,974,43,714,7
apple,large,167,6,152,77,553,7
apple,medium,388,3,827,96,434,1
samusang,large,240,2,145,91,412,3
samusang,small,483,5,960,97,929,2
samusang,large,490,2,891,90,787,3
apple,small,442,6,727,79,705,3
Gtel,large,215,2,710,52,948,7
Gtel,large,462,5,565,39,754,5
samusang,small,326,6,304,67,909,6
samusang,medium,259,3,263,39,287,8
apple,small,301,4,501,78,192,3
apple,medium,458,7,316,90,101,0
